,Unnamed: 0,sub,onset,offset,dur,cat,tier,sequence,elicited_response,response_modality,response_vocal_type,response_type
0,0,1,305.55,306.79,,seq,Infraphonology,1.0,0,,,
1,1,1,309.14,310.35,1.21,Vocal,CGR Modality,,0,,,
2,2,1,309.14,310.35,1.21,Sem-Ling,CGR Vocal Type,,0,,,
3,3,1,309.14,310.35,1.21,Com-Nar,CGR Type,,0,,,
4,4,1,357.2,357.63,0.43,FRV,Infraphonology,0.0,0,,,
5,5,1,358.92,359.45,0.53,CS,Infraphonology,0.0,0,,,
6,6,1,359.71,361.52,1.81,Other,Infraphonology,0.0,0,,,
7,7,1,362.03,363.79,1.76,Vocal,CGR Modality,,0,,,
8,8,1,362.03,363.79,1.76,Sem-Nling,CGR Vocal Type,,0,,,
9,9,1,362.03,363.79,1.76,Imitation,CGR Type,,0,,,
10,10,1,485.92,486.6,0.68,FRV,Infraphonology,0.0,1,Vocal,Sem-Nling,Imitation
11,11,1,486.95,487.58,0.63,Vocal,CGR Modality,,0,,,
12,12,1,486.95,487.58,0.63,Sem-Nling,CGR Vocal Type,,0,,,
13,13,1,486.95,487.58,0.63,Imitation,CGR Type,,0,,,
14,14,1,491.0,491.57,,seq,Infraphonology,1.0,1,Vocal,Sem-Nling,Imitation
15,15,1,491.81,492.54,0.73,Vocal,CGR Modality,,0,,,
16,16,1,491.81,492.54,0.73,Sem-Nling,CGR Vocal Type,,0,,,
17,17,1,491.81,492.54,0.73,Imitation,CGR Type,,0,,,
18,18,1,503.76,504.38,0.62,CS,Infraphonology,0.0,0,,,
19,19,1,507.24,508.11,0.87,Vocal,CGR Modality,,0,,,
20,20,1,507.24,508.11,0.87,Sem-Ling,CGR Vocal Type,,0,,,
21,21,1,507.24,508.11,0.87,Convo holder,CGR Type,,0,,,
22,22,1,514.21,514.69,0.48,MSFR,Infraphonology,0.0,1,Vocal,Sem-Nling,Convo holder
23,23,1,514.95,515.87,0.92,Vocal,CGR Modality,,0,,,
24,24,1,514.95,515.87,0.92,Sem-Nling,CGR Vocal Type,,0,,,
25,25,1,514.95,515.87,0.92,Convo holder,CGR Type,,0,,,
26,26,1,549.98,552.31,2.33,Other,Infraphonology,0.0,0,,,
27,27,1,552.71,553.98,,seq,Infraphonology,1.0,1,Both,Sem-Ling,Sen
28,28,1,553.37,554.83,1.46,Both,CGR Modality,,0,,,
29,29,1,553.37,554.83,1.46,Sem-Ling,CGR Vocal Type,,0,,,
30,30,1,553.37,554.83,1.46,Sen,CGR Type,,0,,,
31,31,1,580.34,581.56,,seq,Infraphonology,1.0,0,,,
32,32,1,658.7,659.83,,seq,Infraphonology,1.0,1,Vocal,Sem-Nling,Imitation
33,33,1,660.15,660.62,0.47,Vocal,CGR Modality,,0,,,
34,34,1,660.15,660.62,0.47,Sem-Nling,CGR Vocal Type,,0,,,
35,35,1,660.15,660.62,0.47,Imitation,CGR Type,,0,,,
36,36,1,660.72,661.34,0.62,Vocal,CGR Modality,,0,,,
37,37,1,660.72,661.34,0.62,Sem-Nling,CGR Vocal Type,,0,,,
38,38,1,660.72,661.34,0.62,Imitation,CGR Type,,0,,,
39,39,1,776.11,776.55,0.44,FRV,Infraphonology,0.0,1,Both,Sem-Ling,ReDir
40,40,1,778.33,779.34,1.01,Both,CGR Modality,,0,,,
41,41,1,778.33,779.34,1.01,Sem-Ling,CGR Vocal Type,,0,,,
