"","sub","onset","offset","tier","age","duration","seq_cat","syllable_total","inter_speech_interval","caregiver_response","elicited_response"
"1",4,601.11,602,"infant vocs","10 months",0.889999999999986,"sequence",2,NA,NA,1
"2",4,602.567598,603.306617,"Parent","10 months",0.739018999999985,NA,NA,0.567597999999975,1,NA
"3",4,603.055,603.245,"infant vocs","10 months",0.190000000000055,"individual syllable",1,-0.25161700000001,NA,0
"4",4,606.81,607.31,"infant vocs","10 months",0.5,"sequence",2,3.56499999999994,NA,0
"5",4,609.630688,610.672584,"Parent","10 months",1.04189600000007,NA,NA,2.32068800000002,0,NA
"6",4,615.07,618.555,"infant vocs","10 months",3.4849999999999,"sequence",3,4.39741600000002,NA,0
"7",4,620.675,621.355,"infant vocs","10 months",0.680000000000064,"individual syllable",1,2.12,NA,1
"8",4,621.673075,622.739201,"Parent","10 months",1.06612599999994,NA,NA,0.318075000000022,1,NA
"9",4,623.575142,627.791189,"Parent","10 months",4.216047,NA,NA,0.835941000000048,0,NA
"10",4,627.855,629.945,"infant vocs","10 months",2.09000000000003,"sequence",2,0.063810999999987,NA,1
"11",4,629.729601,633.47316,"Parent","10 months",3.743559,NA,NA,-0.215399000000048,1,NA
"12",4,635.17,635.51,"infant vocs","10 months",0.340000000000032,"individual syllable",1,1.69683999999995,NA,0
"13",4,638.28,641.11,"infant vocs","10 months",2.83000000000004,"sequence",4,2.76999999999998,NA,0
"14",4,643.140991,644.691721,"Parent","10 months",1.55073000000004,NA,NA,2.03099099999997,0,NA
"15",4,647.245,647.455,"infant vocs","10 months",0.210000000000036,"individual syllable",1,2.55327899999997,NA,1
"16",4,647.890102,650.834066,"Parent","10 months",2.94396400000005,NA,NA,0.435101999999915,1,NA
"17",4,651.73,653.975,"infant vocs","10 months",2.245,"sequence",2,0.895934000000011,NA,1
"18",4,654.347438,656.891604,"Parent","10 months",2.54416600000002,NA,NA,0.372437999999988,1,NA
"19",4,657.145,657.365,"infant vocs","10 months",0.220000000000027,"individual syllable",1,0.253395999999952,NA,0
"20",4,667.21365,672.059681,"Parent","10 months",4.84603099999993,NA,NA,9.84865000000002,0,NA
"21",4,672.520054,673.767907,"Parent","10 months",1.24785300000008,NA,NA,0.460373000000004,0,NA
"22",4,677.48,680.265,"infant vocs","10 months",2.78499999999997,"sequence",2,3.71209299999998,NA,0
"23",4,682.435,687.765,"infant vocs","10 months",5.33000000000004,"sequence",4,2.16999999999996,NA,1
"24",4,688.536186,689.796154,"Parent","10 months",1.25996799999996,NA,NA,0.771186000000057,1,NA
"25",4,691.93,692.09,"infant vocs","10 months",0.160000000000082,"individual syllable",1,2.13384599999995,NA,0
"26",4,694.746,695.677,"infant vocs","10 months",0.93100000000004,"sequence",2,2.65599999999995,NA,1
"27",4,695.957787,702.355703,"Parent","10 months",6.3979159999999,NA,NA,0.280787000000032,1,NA
"28",4,704.726197,706.346841,"Parent","10 months",1.62064400000008,NA,NA,2.37049400000001,0,NA
"29",4,707.725598,709.878394,"Parent","10 months",2.15279599999997,NA,NA,1.37875699999995,0,NA
"30",4,713.203,713.391,"infant vocs","10 months",0.187999999999988,"individual syllable",1,3.32460600000002,NA,0
"31",4,717.667161,720.557713,"Parent","10 months",2.89055200000007,NA,NA,4.276161,0,NA
"32",4,721.381,721.543,"infant vocs","10 months",0.162000000000035,"individual syllable",1,0.823286999999937,NA,0
"33",4,731.474,731.845,"infant vocs","10 months",0.370999999999981,"individual syllable",1,9.93100000000004,NA,0
"34",4,739.801,739.983,"infant vocs","10 months",0.181999999999903,"individual syllable",1,7.95600000000002,NA,0
"35",4,742.95,743.08,"infant vocs","10 months",0.129999999999995,"individual syllable",1,2.9670000000001,NA,1
"36",4,744.057052,744.794808,"Parent","10 months",0.73775599999999,NA,NA,0.977051999999958,1,NA
"37",4,746.281,746.593,"infant vocs","10 months",0.312000000000012,"individual syllable",1,1.48619199999996,NA,0
"38",4,750.140515,753.696256,"Parent","10 months",3.5557409999999,NA,NA,3.54751500000009,0,NA
"39",4,755.72,755.856,"infant vocs","10 months",0.135999999999967,"individual syllable",1,2.02374400000008,NA,0
"40",4,757.993,758.11,"infant vocs","10 months",0.116999999999962,"individual syllable",1,2.13700000000006,NA,0
