"","sub","age","seq_cat","onset","offset","duration","syllable_total","tier"
"1",4,"5 months","sequence",310.48,312.58,2.09999999999997,2,"infant vocs"
"2",4,"5 months","sequence",383.4,387.92,4.52000000000004,3,"infant vocs"
"3",4,"5 months","sequence",565.5,571.29,5.78999999999996,2,"infant vocs"
"4",4,"5 months","sequence",575.14,578.74,3.60000000000002,2,"infant vocs"
"5",6,"5 months","sequence",554.96,556.21,1.25,2,"infant vocs"
"6",6,"5 months","sequence",933.985,935.305,1.31999999999994,2,"infant vocs"
"7",10,"5 months","sequence",656.826,659.242,2.41599999999994,2,"infant vocs"
"8",10,"5 months","sequence",684.239,687.109,2.87,2,"infant vocs"
"9",10,"5 months","sequence",822.263,823.946,1.68299999999999,2,"infant vocs"
"10",10,"5 months","sequence",833.75,835.94,2.19000000000005,2,"infant vocs"
"11",10,"5 months","sequence",845.221,847.217,1.99599999999998,2,"infant vocs"
"12",10,"5 months","sequence",856.212,858.297,2.08500000000004,2,"infant vocs"
"13",11,"5 months","sequence",295.42,301.1,5.68000000000001,3,"infant vocs"
"14",11,"5 months","sequence",870.615,873.915,3.29999999999995,2,"infant vocs"
"15",27,"5 months","sequence",37.13,38.32,1.19,2,"infant vocs"
"16",27,"5 months","sequence",126.39,127.68,1.29000000000001,2,"infant vocs"
"17",27,"5 months","sequence",375.05,377.795,2.745,2,"infant vocs"
"18",27,"5 months","sequence",382.941,383.9,0.959000000000003,2,"infant vocs"
"19",27,"5 months","sequence",626.55,629.91,3.36000000000001,3,"infant vocs"
"20",43,"5 months","sequence",119.898,121.353,1.455,2,"infant vocs"
"21",43,"5 months","sequence",162.74,164.67,1.92999999999998,2,"infant vocs"
"22",43,"5 months","sequence",171.05,172.14,1.08999999999997,2,"infant vocs"
"23",47,"5 months","sequence",207.395,209.935,2.53999999999999,2,"infant vocs"
"24",53,"5 months","sequence",10.71,11.71,1,2,"infant vocs"
"25",53,"5 months","sequence",837.92,843.165,5.245,2,"infant vocs"
"26",53,"5 months","sequence",856.08,861,4.91999999999996,3,"infant vocs"
"27",59,"5 months","sequence",380.961,382.157,1.19599999999997,2,"infant vocs"
"28",59,"5 months","sequence",642.964,645.369,2.40499999999997,2,"infant vocs"
"29",59,"5 months","sequence",650.562,651.744,1.18200000000002,2,"infant vocs"
"30",64,"5 months","sequence",877.54,878.25,0.710000000000036,2,"infant vocs"
"31",64,"5 months","sequence",928.99,931.27,2.27999999999997,2,"infant vocs"
"32",71,"5 months","sequence",396.176,400.28,4.10399999999998,2,"infant vocs"
"33",71,"5 months","sequence",402.141,406.398,4.257,2,"infant vocs"
"34",71,"5 months","sequence",408.05,408.77,0.71999999999997,2,"infant vocs"
"35",71,"5 months","sequence",435.866,437.43,1.56400000000002,2,"infant vocs"
"36",71,"5 months","sequence",451.068,452.347,1.279,2,"infant vocs"
"37",71,"5 months","sequence",525.56,526.98,1.42000000000007,2,"infant vocs"
"38",71,"5 months","sequence",566.583,569.451,2.86800000000005,2,"infant vocs"
"39",71,"5 months","sequence",690.646,694.49,3.84400000000005,2,"infant vocs"
"40",71,"5 months","sequence",868.05,870.76,2.71000000000004,2,"infant vocs"
"41",74,"5 months","sequence",343.87,346.33,2.45999999999998,2,"infant vocs"
"42",75,"5 months","sequence",460.85,461.93,1.07999999999998,2,"infant vocs"
"43",75,"5 months","sequence",769.83,771.23,1.39999999999998,3,"infant vocs"
"44",87,"5 months","sequence",60.232,61.783,1.551,2,"infant vocs"
"45",87,"5 months","sequence",234.417,236.166,1.749,2,"infant vocs"
"46",87,"5 months","sequence",326.084,328.66,2.57600000000002,2,"infant vocs"
"47",87,"5 months","sequence",407.093,408.91,1.81700000000001,2,"infant vocs"
"48",87,"5 months","sequence",476.49,480.902,4.41199999999998,3,"infant vocs"
"49",87,"5 months","sequence",581.22,583.26,2.03999999999996,2,"infant vocs"
"50",87,"5 months","sequence",586.827,589.32,2.49300000000005,2,"infant vocs"
"51",87,"5 months","sequence",612.12,613.81,1.68999999999994,2,"infant vocs"
"52",87,"5 months","sequence",615.047,619.38,4.33299999999997,2,"infant vocs"
"53",87,"5 months","sequence",642.159,652.71,10.551,6,"infant vocs"
"54",87,"5 months","sequence",657.78,659.69,1.91000000000008,2,"infant vocs"
"55",87,"5 months","sequence",673.2,676.39,3.18999999999994,2,"infant vocs"
"56",87,"5 months","sequence",694.809,705.4,10.591,6,"infant vocs"
"57",87,"5 months","sequence",706.96,718.41,11.4499999999999,8,"infant vocs"
"58",87,"5 months","sequence",719.52,724.91,5.38999999999999,4,"infant vocs"
"59",87,"5 months","sequence",767.669,768.94,1.27100000000007,2,"infant vocs"
"60",87,"5 months","sequence",802.442,805.21,2.76800000000003,2,"infant vocs"
"61",87,"5 months","sequence",887.24,889.848,2.60799999999995,2,"infant vocs"
"62",91,"5 months","sequence",134.075,134.985,0.910000000000025,2,"infant vocs"
"63",91,"5 months","sequence",427.445,430.375,2.93000000000001,2,"infant vocs"
"64",91,"5 months","sequence",471.8,473.33,1.52999999999997,2,"infant vocs"
"65",91,"5 months","sequence",626.97,628.545,1.57499999999993,2,"infant vocs"
"66",94,"5 months","sequence",81.9,83.94,2.03999999999999,2,"infant vocs"
"67",94,"5 months","sequence",167.71,174.78,7.06999999999999,3,"infant vocs"
"68",94,"5 months","sequence",184.56,189.61,5.05000000000001,3,"infant vocs"
"69",94,"5 months","sequence",437.14,445.72,8.58000000000004,4,"infant vocs"
"70",94,"5 months","sequence",558.126,562.5,4.37400000000002,4,"infant vocs"
"71",94,"5 months","sequence",563.52,570.81,7.28999999999996,3,"infant vocs"
"72",94,"5 months","sequence",618.34,622.07,3.73000000000002,3,"infant vocs"
"73",94,"5 months","sequence",663.78,667.93,4.14999999999998,4,"infant vocs"
"74",96,"5 months","sequence",124.42,125.29,0.870000000000005,2,"infant vocs"
"75",96,"5 months","sequence",141.38,142.87,1.49000000000001,2,"infant vocs"
"76",96,"5 months","sequence",175.92,177.92,2,2,"infant vocs"
"77",96,"5 months","sequence",736.83,742.5,5.66999999999996,2,"infant vocs"
"78",96,"5 months","sequence",759.18,760.85,1.67000000000007,2,"infant vocs"
"79",96,"5 months","sequence",872.01,875.38,3.37,2,"infant vocs"
"80",96,"5 months","sequence",897.66,900.75,3.09000000000003,2,"infant vocs"
"81",97,"5 months","sequence",814.922,820.47,5.548,6,"infant vocs"
"82",99,"5 months","sequence",269.915,272.105,2.19,2,"infant vocs"
"83",99,"5 months","sequence",326.8,328.64,1.83999999999997,2,"infant vocs"
"84",99,"5 months","sequence",666.2,675.44,9.24000000000001,6,"infant vocs"
"85",99,"5 months","sequence",698.04,699.78,1.74000000000001,2,"infant vocs"
"86",99,"5 months","sequence",845.99,851.89,5.89999999999998,3,"infant vocs"
