,bird_ID,motif_ID,motif_onset,motif_offset,motif_duration,condition,Brother_ID,syllable_count,syll_per_sec,age
0,BK-LGN_PU,motif1,0.064862,2.059456,1.994594,Contingent,1_1,24,12.032523912134499,forty-five
1,BK-LGN_PU,motif10,0.039872,2.761167,2.721295,Contingent,1_1,28,10.28921891966876,forty-five
2,BK-LGN_PU,motif2,0.064862,1.712357,1.647495,Contingent,1_1,26,15.781534997071311,forty-five
3,BK-LGN_PU,motif3,0.007958,2.498868,2.49091,Contingent,1_1,28,11.2408718099008,forty-five
4,BK-LGN_PU,motif4,0.031833,2.033363,2.00153,Contingent,1_1,22,10.991591432554097,forty-five
5,BK-LGN_PU,motif5,0.02171,1.938022,1.916312,Contingent,1_1,19,9.914878161802463,forty-five
6,BK-LGN_PU,motif6,0.02171,1.938022,1.916312,Contingent,1_1,19,9.914878161802463,forty-five
7,BK-LGN_PU,motif7,0.073059,2.042319,1.96926,Contingent,1_1,22,11.171709169942009,forty-five
8,BK-LGN_PU,motif8,0.039872,2.180818,2.140946,Contingent,1_1,20,9.34166485282674,forty-five
9,BK-LGN_PU,motif9,0.039872,1.880912,1.84104,Contingent,1_1,19,10.320253769608483,forty-five
10,LGN-BK,motif1,0.038546,1.753285,1.714739,Yoked,1_,27,15.745836538388641,forty-five
11,LGN-BK,motif10,0.047148,2.011,1.9638520000000002,Yoked,1_,25,12.730083529716088,forty-five
12,LGN-BK,motif2,0.007616,2.020574,2.012958,Yoked,1_,18,8.9420643649793,forty-five
13,LGN-BK,motif3,0.04949,2.741568,2.692078,Yoked,1_,28,10.400887344274572,forty-five
14,LGN-BK,motif4,0.052177,1.753853,1.7016760000000002,Yoked,1_,20,11.753118690044403,forty-five
15,LGN-BK,motif5,0.010954,1.779973,1.7690190000000001,Yoked,1_,22,12.43627117628471,forty-five
16,LGN-BK,motif6,0.005549,1.957469,1.9519199999999999,Yoked,1_,30,15.369482355834256,forty-five
17,LGN-BK,motif7,0.007242,1.587485,1.580243,Yoked,1_,16,10.125025075257412,forty-five
18,LGN-BK,motif8,0.077441,1.599011,1.5215699999999999,Yoked,1_,20,13.144318039919295,forty-five
19,LGN-BK,motif9,0.034776,1.359165,1.324389,Yoked,1_,20,15.101303317982858,forty-five
20,LGN-PU,motif1,0.069883,1.936748,1.866865,Yoked,1_D,22,11.784462186606959,forty-five
21,LGN-PU,motif10,0.072237,1.666854,1.594617,Yoked,1_D,17,10.660867154934383,forty-five
22,LGN-PU,motif2,0.076943,1.8808,1.803857,Yoked,1_D,25,13.859191720851486,forty-five
23,LGN-PU,motif3,0.138201,2.197208,2.059007,Yoked,1_D,28,13.598788153707103,forty-five
24,LGN-PU,motif4,0.046992,1.373023,1.3260310000000002,Yoked,1_D,16,12.066082919630082,forty-five
25,LGN-PU,motif5,0.057597,1.861372,1.8037750000000001,Yoked,1_D,22,12.196643151169075,forty-five
26,LGN-PU,motif6,0.055172,2.003658,1.9484860000000002,Yoked,1_D,20,10.264379626027592,forty-five
27,LGN-PU,motif7,0.036684,1.369125,1.332441,Yoked,1_D,10,7.505022736466381,forty-five
28,LGN-PU,motif8,0.013646,1.423288,1.409642,Yoked,1_D,16,11.350399605006093,forty-five
29,LGN-PU,motif9,0.10441,2.061247,1.9568369999999997,Yoked,1_D,22,11.242632881532801,forty-five
